customer_id,name,email,address,signup_date,event_type
2975,Michael Ponce,robertgates@example.org,"Unit 4331 Box 0522
DPO AA 94940",2022-07-08,UPDATE
7681,Mr. John Cooper,chelseajones@example.org,"488 Jonathan Stravenue
South Cheryl, PA 15104",2023-05-05,DELETE
1966,Samantha Miranda,timothy01@example.org,"13528 Olson Divide
New William, MA 93240",2023-05-13,INSERT
1848,Elizabeth Saunders,jose20@example.org,"2572 Katherine Manor
Paigeshire, NV 54827",2020-06-19,UPDATE
8064,Robin Walker,cobbphillip@example.net,"608 Stephanie Valleys
Port Samuelmouth, ND 66190",2024-02-13,UPDATE
6580,Beth Burnett,charlesalvarado@example.com,"46113 Jasmine Pass Apt. 167
Port Rebekahton, MP 33602",2020-06-24,DELETE
2924,Caleb Kelly,anngarner@example.org,"PSC 2267, Box 9739
APO AA 60152",2022-01-28,INSERT
4276,Daniel Sanders,lchen@example.org,"87808 Juarez Trail
Whitechester, MP 63024",2024-01-05,DELETE
8587,Joseph Long,katelyncastillo@example.net,"405 Black Lodge
Lake Kaylashire, CA 69190",2024-05-22,DELETE
6101,Cindy Rodriguez,brian30@example.org,"747 Wallace Villages
Alexandershire, AL 28627",2020-05-15,UPDATE
6991,Amy Petty,wsmith@example.com,"9121 Jason Station Suite 211
Victoriamouth, AR 42470",2021-11-21,UPDATE
4910,Preston Lee,jonathan20@example.com,"806 Jones Estate
South Kimberly, MD 95751",2021-03-21,INSERT
7724,Kelly Guzman,onealcarmen@example.org,"890 Victor Drive
Vargasstad, NE 52221",2024-05-05,INSERT
9203,Gary Gonzalez,edavis@example.net,"9034 Long Freeway Apt. 945
New Spencerland, FL 76631",2020-04-17,UPDATE
4500,Dawn Peterson,nrice@example.net,"206 Andrea Hill Suite 658
Port Leah, DC 67504",2022-05-08,UPDATE
8089,Cassandra Henderson,josephjensen@example.org,"6340 Amy Roads Suite 199
Austinborough, WI 06363",2020-02-29,UPDATE
1281,Elizabeth Allen,brownsusan@example.org,"05427 Smith Rue Suite 676
Port Dawn, AS 56380",2024-02-11,UPDATE
5003,Christina Cooper,anna54@example.net,"73323 Parks Lakes
North Kelly, IL 07769",2020-06-24,DELETE
9887,Alicia Reynolds,watsonmaria@example.net,"27565 Edward Springs
New Susan, AL 17044",2022-06-10,DELETE
7947,Patricia Alvarado,laurenblair@example.net,"68746 Ellis Causeway
Hawkinsmouth, KS 87885",2023-05-10,UPDATE
8260,Derek Douglas,wrightronald@example.net,"70727 Anderson Glen Suite 138
Alexanderside, CT 38795",2023-04-22,UPDATE
9784,John Shaw,russothomas@example.org,"61386 Robles Station Apt. 464
Dianatown, AZ 39435",2021-04-06,UPDATE
8210,Kristen Mason,lewismax@example.com,"5156 Monique Ridges Suite 471
Port Jaredchester, DC 38518",2020-07-02,UPDATE
9533,Kurt Carpenter,kathleenhayes@example.com,"9916 Zachary Extensions
Anthonyborough, AZ 24850",2022-02-03,DELETE
5895,Michael Hawkins,jesse19@example.org,"775 Mario Unions Suite 043
Port Williambury, ME 74449",2023-01-05,DELETE
3572,Lauren Thomas,michael86@example.com,"5690 Thompson Mission
North Michellemouth, MO 78668",2021-11-19,UPDATE
5272,Sandy Bright,kelly96@example.com,"5854 Moreno Grove Suite 346
Port Theresa, MH 66352",2020-12-07,INSERT
5658,Kimberly Short,melendezlouis@example.com,"07051 Hale Course
Washingtonside, AL 19941",2023-06-03,DELETE
7396,Christopher Schneider,leahfields@example.net,"Unit 2644 Box 3088
DPO AE 68050",2020-09-11,DELETE
9318,Jamie Nelson,swood@example.org,"6282 Kyle Lock
Port Josestad, FL 59665",2020-05-25,DELETE
7292,Jennifer Lopez,melissadalton@example.org,"Unit 2421 Box 3018
DPO AP 60667",2020-08-01,INSERT
7760,Zachary Lucas,georgeenglish@example.net,"84586 Hernandez Club
Harpermouth, RI 56205",2020-11-10,DELETE
2972,Ryan Pruitt,martinezkelly@example.net,"793 Marc Alley
Port Terriborough, KY 54159",2024-05-20,DELETE
3102,Kimberly Lee,paulariley@example.com,"00287 Parks Path Apt. 260
East Nicholas, KY 94036",2021-10-19,DELETE
9155,Sheri Butler,laura34@example.net,"9171 Diana Lodge
West Michelle, KY 14795",2021-06-25,UPDATE
1892,James Russell,valdezbrian@example.net,"40976 Padilla Course
Rodriguezchester, LA 84266",2022-04-11,DELETE
1024,Justin Martin,kwilliams@example.org,"647 Luis Common Suite 777
West Lindsay, KY 63288",2022-11-13,UPDATE
4040,Ryan Riley,escobarhenry@example.org,"72091 Bonnie Mill Suite 431
Carriebury, VA 93491",2021-08-21,DELETE
1712,Robin Rodriguez,sanchezmargaret@example.net,"060 Frederick Springs
Lake Whitney, OK 81688",2022-05-16,UPDATE
4719,Erika Bates,bruce38@example.net,"800 Roberts Stream Suite 408
Christinabury, AS 79348",2022-06-21,UPDATE
2478,Ryan Weaver,sampsondaniel@example.net,"7613 Burton Estates
Sarahborough, NJ 48034",2021-09-13,INSERT
9844,Crystal Abbott,cynthia96@example.net,"7775 Kimberly Inlet
Mcdonaldport, VI 06525",2021-04-17,UPDATE
2879,Theresa Smith,amber78@example.net,"Unit 9718 Box 2767
DPO AP 32631",2021-12-16,INSERT
2590,Julia Lee,rogerscharles@example.org,"61663 Richardson Highway
West Sarahshire, OK 29416",2023-01-23,UPDATE
5547,Luis Kirk,susanholloway@example.com,"38651 Crystal Cliff
Barrettburgh, PA 18868",2020-09-23,DELETE
6167,Sergio Chavez,april27@example.net,"5189 Williams View Suite 553
New Hailey, OR 73417",2020-10-20,UPDATE
2696,Linda Parks MD,wmoore@example.net,"5631 Alvarado Shoals
Adrianbury, FL 84406",2020-01-27,DELETE
3240,Danielle Klein,rothanne@example.com,"333 Stevens Hills
Thompsonbury, AK 81172",2021-03-02,DELETE
7591,Dr. Tina Massey,qthomas@example.com,"9606 Jeremiah Alley
New Christianside, RI 54343",2022-03-08,INSERT
1974,John Smith,mariahbarker@example.org,"08405 Salazar Turnpike Suite 171
West Davidmouth, MO 01996",2022-04-02,INSERT
3852,Antonio Austin,mbauer@example.org,"07250 Woods Points Apt. 447
Paulaview, AZ 93879",2024-03-17,UPDATE
7795,Renee Acosta,robert92@example.net,"4440 Leonard Ford Suite 328
Lake Alex, WY 56239",2023-08-20,UPDATE
8858,Brian Stewart,kelly05@example.com,"2485 Shelly Ranch
East Michael, MH 51842",2020-06-02,DELETE
2542,Joel Grimes,eric06@example.net,"36478 Bell Cove Suite 737
Amyside, NC 56053",2022-03-17,INSERT
2386,Linda Cook,sgarcia@example.org,"18465 Esparza Extensions
Flynnfort, SD 08312",2020-03-06,DELETE
2860,Howard Chaney,davistimothy@example.net,"5008 Phillips Spurs
South Elizabethmouth, NC 06451",2020-05-07,UPDATE
1260,Seth Aguirre,candacepowell@example.net,"9294 Snow Viaduct
Kellyport, CT 35437",2024-02-09,UPDATE
1376,Mrs. Paula Frazier,kimberly35@example.com,"88412 Eric Views Apt. 741
Wolfetown, FL 31058",2021-09-02,DELETE
2811,Olivia Lindsey,lesliefernandez@example.com,"474 Virginia Pines
Valdezville, GU 60421",2023-03-10,DELETE
3574,Susan Wood,hsmith@example.net,"Unit 3967 Box 8112
DPO AE 89414",2024-02-29,DELETE
5961,Raven Joyce,carlawalker@example.com,"8009 Mcfarland Bridge
Hughesport, TN 80871",2022-12-13,UPDATE
6089,Lisa Smith,trevor90@example.org,"50492 Foster Ferry
Port Julieland, IN 94078",2020-05-14,DELETE
5113,Kimberly Fleming,crystal16@example.com,"502 Nolan Pine Suite 630
Baxterfort, AS 41871",2022-07-10,INSERT
1214,Jessica Velasquez,ymartin@example.com,"263 Shawn Ranch
Paulfurt, OK 10779",2023-05-29,INSERT
6171,Michael Valdez,yanderson@example.com,"218 Todd Road
Barbaraberg, NC 72907",2020-12-22,DELETE
5854,Brent Williams,rhart@example.net,"44483 Holloway Path Apt. 465
Quinntown, IA 23575",2023-08-26,DELETE
7619,Lisa Horn,lopezkayla@example.net,"5364 Susan Roads Apt. 786
New Brianland, TN 19953",2021-07-19,DELETE
2544,Jacob Cline,leewilliam@example.org,"76293 Larry Fort Suite 703
Lake Nathan, ND 95567",2022-04-01,DELETE
6167,Christina Wong,aparks@example.net,"628 Madison Roads Suite 145
West Stephanie, AL 61588",2021-12-06,INSERT
9521,Vincent Pineda,jgardner@example.net,"4570 Roberts Field Suite 761
Lake Willie, IL 02408",2024-02-22,UPDATE
1650,Claire Vazquez,hmason@example.net,"181 Tanya Village
Lake Mary, DE 67109",2021-02-13,DELETE
6700,Kevin Bailey,robertsmartin@example.org,"USCGC Ward
FPO AA 79291",2020-10-19,DELETE
4923,Jessica Henson PhD,ekrause@example.com,"31437 Vincent Corner Apt. 248
Marshallport, AZ 97405",2021-05-22,UPDATE
3642,Shawn Robinson,sgamble@example.com,"742 Hendricks Garden Apt. 936
East Cynthiachester, TX 67499",2021-07-25,UPDATE
5645,Jeffrey Turner,swood@example.net,"USCGC Macias
FPO AA 62526",2021-04-12,DELETE
1479,Marie Smith DVM,johnsonjeremy@example.org,"72474 Jack Forest Apt. 454
Morrisberg, OH 06014",2024-05-29,UPDATE
5262,Yvonne Walls,mendozatina@example.com,"192 Dudley Fork Apt. 184
East Kristy, VT 40062",2020-05-10,DELETE
5876,Brian Strong,michael05@example.org,"PSC 2653, Box 7426
APO AP 92436",2021-05-15,INSERT
1764,Jeffery Larson,adamsjasmine@example.com,"66366 Drew Track
North Joshua, HI 89556",2021-12-30,UPDATE
9910,Alexander Hawkins DVM,merickson@example.com,"0637 Campbell Ports
Debbieberg, OR 01184",2022-10-09,UPDATE
2061,Kim Johnson,daniel19@example.com,"3922 Veronica Vista
Walkershire, AR 49553",2022-08-17,UPDATE
2241,Angela Larson,richardharvey@example.net,"7244 Margaret Groves Suite 485
West Theresachester, CO 39223",2022-11-30,UPDATE
8967,Diane Lewis,abigailhoover@example.org,"1212 Christopher Heights
Bennettland, MA 48196",2020-12-06,DELETE
